ID,Title,Rating,Gender,Platform,Actual Price,Website Price,Offer %,After offer Price,Profit,Available Stocks
20758,Flip Flops,4.1,Men,Flipkart,249,890,72.02%,249.02,-0.02,0
7068,Slippers,3.6,Men,Flipkart,599,1299,53.89%,598.97,0.03,0
6597,Slides,3.9,Men,Flipkart,300,1500,80.00%,300,0,1
15941,Men's Formal Leather Shoes Slip On For Men  (White),4.1,Men,Flipkart,999,1999,50.03%,998.9,0.1,1
6824,Men Black Casual Sandal,3.9,Men,Flipkart,299,499,40.08%,299,0,0
1317,Women Red Heels Sandal,4.1,Women,Flipkart,546,999,45.35%,545.95,0.05,0
770,"Sneakers For Men  (Yellow, White)",4.1,Men,Flipkart,603,1014,42.89%,579.1,23.9,1
5575,Women Copper Flats Sandal,4.1,Undefined,Flipkart,349,999,65.07%,348.95,0.05,1
3487,GO WALK 5 Walking Shoes For Women  (Navy),4.7,Women,Flipkart,4239,5299,20.00%,4239.2,-0.2,1
10577,Stylish Combo Pack of 2 Shoes Sneakers For Women  (Multicolor),3.8,Women,Flipkart,630,998,36.87%,630.04,-0.04,1
18413,Mojaris Jutis For Men  (Brown),4.3,Men,Flipkart,399,499,20.04%,399,0,0
4211,"Women's/Ladies/Female/Girls Trendy Fashionable Lightweight Comfortable Partywear, Casual wear Lace-Up Shoes Sneakers For Women  (White)",4.3,Women,Flipkart,380,999,61.96%,380.02,-0.02,1
2631,Men Brown Casual Sandal,4.3,Men,Flipkart,799,1999,60.03%,799,0,1
17504,Ankle Length & High Ankle Length Boots For Women  (Tan),3.6,Women,Flipkart,429,999,57.06%,428.97,0.03,0
12827,Men Orange Sandal,4,Men,Flipkart,398,999,60.16%,398,0,0
5607,Slides,3.6,Women,Flipkart,259,349,25.79%,258.99,0.01,0
1106,Women Beige Flats Sandal,4,Women,Flipkart,316,999,68.37%,315.98,0.02,1
10686,Trenzo II IDP Running Shoes For Women  (Grey),4.1,Women,Flipkart,1709,2999,43.01%,1709.13,-0.13,1
13425,Fashionable Boots for Womens Boots For Women  (Black),4.3,Women,Flipkart,549,999,45.05%,548.95,0.05,0
14723,Slippers,3.7,Men,Flipkart,229,499,54.11%,228.99,0.01,0
10063,Slip On For Men  (Brown),4,Men,Flipkart,629,699,10.01%,629.03,-0.03,1
12372,Men Green Sports Sandal,4.6,Men,Flipkart,1539,2799,45.02%,1538.89,0.11,1
19486,Mojaris For Men  (Blue),4.2,Men,Flipkart,474,999,52.55%,474.03,-0.03,0
3312,Women Black Flats Sandal,4.1,Women,Flipkart,749,999,25.03%,748.95,0.05,1
4986,Girls Stylish Cut Work Design Sneakers For Women  (White),4,Women,Flipkart,349,499,30.06%,349,0,1
5576,Combo Pack Of 2 Pairs Of Women Slippers Slippers,3.6,Women,Flipkart,299,999,70.07%,299,0,1
180,Derby For Men  (Brown),3.9,Men,Flipkart,458,1624,79.60%,331.3,126.7,1
5097,Women Pink Bellies Sandal,4.1,Women,Flipkart,298,499,40.28%,298,0,1
3610,Bellies For Women  (Tan),3.7,Women,Flipkart,499,999,50.05%,499,0,1
7568,Court Vision LowShoe Casuals For Women  (White),4.3,Women,Flipkart,3863,4995,22.66%,3863.13,-0.13,1
4262,Slippers,3.6,Undefined,Flipkart,213,249,14.46%,212.99,0.01,1
9638,ZAPATOZ Women White Solid PU Medium-Top Sports Shoes,4.7,Women,Amazon,599,599,0.00%,599,0,1
3704,Jutis For Women  (Gold),3.8,Women,Flipkart,279,1299,78.52%,279.03,-0.03,0
16664,Women Blue Wedges Sandal,4,Women,Flipkart,131,399,67.17%,130.99,0.01,0
9235,"807 Boot Shoes For , Womens wear Boots For Women  (Grey)",3.8,Women,Flipkart,629,999,37.04%,628.97,0.03,1
5162,"SC0620G Canvas Shoes For Men  (Olive, Orange)",4.2,Men,Flipkart,989,1299,23.86%,989.06,-0.06,1
18320,Women Black Wedges Sandal,3.9,Women,Flipkart,499,999,50.05%,499,0,1
5390,Women Multicolor Sports Sandal,3.8,Women,Flipkart,249,499,50.10%,249,0,0
7609,Women Grey Heels Sandal,4.3,Women,Flipkart,605,1299,53.43%,604.94,0.06,0
17816,Loafers For Men  (Tan),3.7,Men,Flipkart,451,510,11.57%,450.99,0.01,1
9188,Boots For Women  (Grey),4,Women,Flipkart,399,1999,80.04%,399,0,0
12331,Women Black Heels Sandal,4.2,Women,Flipkart,425,499,14.83%,425,0,0
11142,Women Black Bellies Bellies For Women  (Black),3.9,Women,Flipkart,304,1199,74.65%,303.95,0.05,0
10098,Slides,3.5,Men,Flipkart,238,999,76.18%,237.96,0.04,0
18632,Boots For Women  (Black),4.3,Women,Flipkart,397,999,60.26%,397,0,0
10045,Jalsa Nagra Jutti Mojaris For Men Mojaris For Men  (Black),4,Men,Flipkart,350,499,29.86%,350,0,0
10957,Slip On Sneakers For Women  (Pink),4,Women,Flipkart,995,1990,50.00%,995,0,1
5582,Mojaris For Men  (Black),3.7,Men,Flipkart,499,600,16.83%,499.02,-0.02,0
13874,Slides,4,Men,Flipkart,924,1799,48.64%,923.97,0.03,1
1038,Espadrilles For Men  (White),2.3,Men,Flipkart,569,1599,64.42%,568.92,0.08,1
13909,Running Shoes For Women  (Purple),4.2,Women,Flipkart,3900,6495,39.95%,3900.25,-0.25,1
2157,JALSA Mojaris For Men  (Black),3.7,Men,Flipkart,499,1999,75.04%,498.95,0.05,0
5904,Combo Pack of Casual Shoes Loafers For Women  (Multicolor),3.8,Women,Flipkart,442,998,55.71%,442.01,-0.01,1
15464,Epic Toss V1 IDP Flip Flops,4.4,Men,Flipkart,489,699,30.04%,489.02,-0.02,1
3489,Casual Sneakers Shoes For Men Sneakers For Men  (Green),3.8,Men,Flipkart,599,999,40.04%,599,0,1
2767,Ace Slip-On Running Shoes For Men  (Black),4.3,Undefined,Flipkart,2999,4999,40.01%,2998.9,0.1,1
353,Women Black Heels Sandal,4.1,Women,Flipkart,704,858,38.04%,531.62,172.38,1
20302,X Xiota Women Laceup Casual Shoe,3.4,Women,Amazon,488,488,0.00%,488,0,0
9390,Women Black Bellies Sandal,3.8,Women,Flipkart,279,499,44.09%,278.99,0.01,0
4235,Jutis For Women (Pink) Casuals For Women  (Pink),4,Women,Flipkart,199,499,60.12%,199,0,0
964,"Women Red, Black Sports Sandal",4.8,Women,Flipkart,551,1400,56.20%,613.2,-62.2,0
9457,Women Black Flats Sandal,4.1,Women,Flipkart,499,899,44.49%,499.03,-0.03,1
15101,Slides,3.8,Women,Flipkart,479,599,20.03%,479.02,-0.02,1
14137,Women Grey Wedges Sandal,4.2,Women,Flipkart,449,999,55.06%,448.95,0.05,1
1852,Downshifter 10 Running Shoes For Men  (Blue),4.3,Men,Flipkart,2797,3995,29.99%,2796.9,0.1,1
17065,Women Black Wedges Sandal,4.1,Women,Flipkart,453,999,54.65%,453.05,-0.05,1
11300,Running Shoes For Men  (White),4.2,Men,Flipkart,1349,2699,50.02%,1348.96,0.04,1
17670,Women Casual & Running Shoes Combo Pack of 2 Casuals For Women  (Multicolor),4,Women,Flipkart,569,798,28.70%,568.97,0.03,1
10829,Women Yellow Heels Sandal,4,Women,Flipkart,403,999,59.66%,403,0,0
4059,"Walking Shoes,Gym Shoes,Knit Sports Shoes,Training Shoes,Sports Shoes, Running Shoes,Casual Shoes Running Shoes For Men  (Green, Grey)",4.1,Men,Flipkart,497,599,17.03%,496.99,0.01,1
16618,FUZOR B Running Shoes For Men  (Black),4.2,Undefined,Flipkart,2165,3799,43.01%,2165.05,-0.05,1
12868,Jutis For Women  (Bronze),3.6,Women,Flipkart,168,499,66.33%,168.01,-0.01,0
12816,Girls Stylish Casual Sports Shoe Sneakers For Women Sneakers For Women  (Pink),4.3,Women,Flipkart,655,999,34.43%,655.04,-0.04,0
8009,Women Pink Heels Sandal,3.8,Women,Flipkart,399,599,33.39%,398.99,0.01,0
18376,Women Multicolor Wedges Sandal,4,Women,Flipkart,597,799,25.28%,597.01,-0.01,1
9467,Women Multicolor Sports Sandal,4.1,Women,Flipkart,437,625,30.08%,437,0,0
13659,Slides,4.6,Women,Flipkart,569,999,43.04%,569.03,-0.03,0
13535,Running Shoes For Men  (Black),3.6,Men,Flipkart,399,999,60.06%,399,0,1
19619,Bellies For Women  (Pink),4.3,Women,Flipkart,332,999,66.77%,331.97,0.03,1
9718,Flip Flops,4.8,Women,Flipkart,449,2397,81.27%,448.96,0.04,1
6921,Latest Collection For Women And Girls Bellies For Women  (Multicolor),3.4,Women,Flipkart,420,999,57.96%,419.98,0.02,0
16318,Walking Shoes For Women  (White),4.4,Women,Flipkart,1259,4199,70.02%,1258.86,0.14,1
16430,Unifactor M Running Shoes For Men  (White),4.2,Men,Flipkart,1814,3299,45.01%,1814.12,-0.12,1
2083,High Ankle Denim Boots For Womens And girls Boots For Women  (Blue),4.3,Women,Flipkart,499,999,50.05%,499,0,1
1868,Stylish Boots For Women  (Grey),4,Women,Flipkart,499,999,50.05%,499,0,1
4698,"LDS66 Walking Shoes For Women  (Green, Black)",4.3,Women,Flipkart,599,999,40.04%,599,0,1
8129,ELISE Women's Sneakers,4.1,Women,Amazon,322,397,18.89%,322.01,-0.01,0
1823,Slippers,4.4,Women,Flipkart,599,1199,50.04%,599.02,-0.02,1
2868,Women Brown Wedges Sandal,4,Women,Flipkart,389,499,22.04%,389.02,-0.02,1
596,Ladies Multi Women Punjabi Jutti Casual Jutis For Women  (gold) Jutis For Women  (Gold),4.4,Women,Flipkart,1011,2092,50.03%,1045.37,-34.37,0
15055,Women Black Heels Sandal,3.6,Women,Flipkart,383,499,23.25%,382.98,0.02,1
2844,Partywear white ethnic mojaris/formal shoes for men Mojaris For Men  (White),3.8,Men,Flipkart,699,999,30.03%,699,0,0
18675,Loafers For Men  (Brown),3.9,Men,Flipkart,405,999,59.46%,404.99,0.01,0
6296,Casuals For Men  (Black),4.1,Men,Flipkart,259,499,48.10%,258.98,0.02,1
20667,Running Shoes For Women  (Pink),4.1,Women,Flipkart,571,999,42.84%,571.03,-0.03,1
17392,"New Tredy Stylish Girls Comfortable ,Lightweight, Fashionble ,Now Look ,Outdoor ,Ankle Length ,High heel, Walking, Running. Boot ,Shoe For Women /Girls/Ladies Boots For Women  (White)",4.2,Women,Flipkart,399,899,55.62%,398.98,0.02,0
5364,TREAD LITE LUX LP Running Shoes For Men  (Black),4.2,Men,Flipkart,1047,2299,54.46%,1046.96,0.04,1
5192,SK LIGHTER Men's Training Shoes,3.2,Men,Amazon,349,399,12.53%,349.01,-0.01,0
7377,Walking Shoes For Women  (White),4.1,Women,Flipkart,699,1699,58.86%,698.97,0.03,1
15103,Men Multicolor Sandal,4.1,Men,Flipkart,569,599,5.01%,568.99,0.01,1
16701,Colourblocked Trending Multicolor Ultralight canvas Sport/ Training Lace-up Morning / Evening walk Dating Running Shoes For Men  (Multicolor),3.9,Men,Flipkart,426,1399,69.55%,426,0,1
15107,Smart Buckle Boots For Women  (Black),4.3,Women,Flipkart,540,1299,58.43%,539.99,0.01,0
149,"Latest Collection, Comfortable & Fashionable Bellies for Women's and Girl's Pack of 1 Bellies For Women  (Blue)",4,Women,Flipkart,329,400,50.10%,199.6,129.4,0
15117,Women Off White Wedges Sandal,3.8,Women,Flipkart,437,999,56.26%,436.96,0.04,0
6809,Mens Ethnic Golden Fabric Jutti Mojaris For Men  (Gold),3.4,Men,Flipkart,399,499,20.04%,399,0,0
10023,Super 445 Fashion Sneakers For Men  (Navy),4.6,Men,Flipkart,369,499,26.05%,369.01,-0.01,1
19637,Women's Rajasthani Jutis For Women  (Multicolor),4.2,Women,Flipkart,220,499,55.91%,220.01,-0.01,0
6355,Flip Flops,4.1,Women,Flipkart,299,599,50.08%,299.02,-0.02,1
14442,Strider v1 Slip-On Running Shoes For Men  (Grey),4.4,Men,Flipkart,2699,4499,40.01%,2698.95,0.05,1
20616,Tropical Run Lp Running Shoe For Women  (Blue),4.3,Women,Flipkart,1233,2999,58.89%,1232.89,0.11,1
13567,Jutis For Men  (Brown),5,Men,Flipkart,449,749,40.05%,449.03,-0.03,0
16893,Traditional Leather Punjabi Mojaris / Juttis Mojaris For Men  (Black),4.8,Men,Flipkart,569,1499,62.04%,569.02,-0.02,0
17626,Slippers,4,Women,Flipkart,331,499,33.67%,330.99,0.01,1
14481,EXPLORE Sneakers For Men  (Navy),4.1,Men,Flipkart,1689,1899,11.06%,1688.97,0.03,1
19646,"Men Black, Grey Casual Sandal",3.4,Men,Flipkart,284,999,71.57%,284.02,-0.02,0
17088,Women Black Wedges Sandal,4.3,Women,Flipkart,2025,4499,54.99%,2025,0,1
9753,Women Grey Flats Sandal,4.1,Women,Flipkart,479,999,52.05%,479.02,-0.02,1
14110,Men Black Sandal,3.7,Men,Flipkart,474,2199,78.44%,474.1,-0.1,0
16550,Perfect Stylish Casual Shoes Boots For Women   Boots For Women  (White),4.1,Women,Flipkart,475,999,52.45%,475.02,-0.02,0
5997,Cruxston Wn s IDP Training & Gym Shoes For Women  (Purple),4,Women,Flipkart,1049,3999,73.77%,1048.94,0.06,1
5705,Boots For Women  (Blue),4.3,Women,Flipkart,499,999,50.05%,499,0,1
9483,Women Red Wedges Sandal,3.9,Women,Flipkart,599,999,40.04%,599,0,1
6184,Boots For Women  (Black),3.8,Women,Flipkart,469,999,53.05%,469.03,-0.03,0
6365,Women Beige Wedges Sandal,3.8,Women,Flipkart,449,549,18.21%,449.03,-0.03,0
1357,Jutis For Women  (Pink),4,Women,Flipkart,199,699,71.53%,199.01,-0.01,0
6043,Stylish Casual Partywear High Ankle Girls Boots Boots For Women  (Black),4.2,Women,Flipkart,499,999,50.05%,499,0,0
1689,Women Red Heels Sandal,4.4,Women,Flipkart,704,1299,45.80%,704.06,-0.06,1
974,Victriox M Running Shoes For Men  (Blue),4.1,Men,Flipkart,1904,4022,50.01%,2010.6,-106.6,1
5663,Women Beige Bellies Sandal,4.4,Women,Flipkart,474,999,52.55%,474.03,-0.03,0
19909,Slippers,4.1,Women,Flipkart,319,499,36.07%,319.01,-0.01,1
4105,Trendy Look for Jeans and Kurta Pajama /Artificial Leather Ethnic Shoes For Men Ethnic Mule For Men  (Brown),3.6,Men,Flipkart,499,999,50.05%,499,0,0
15177,SL-138 Casuals For Women  (White),4.1,Women,Flipkart,496,625,20.64%,496,0,1
5202,Women Tan Heels Sandal,3.9,Women,Flipkart,299,850,64.82%,299.03,-0.03,1
8203,Bellies For Women  (Black),3.8,Women,Flipkart,280,499,43.89%,279.99,0.01,1
2937,SPORTSTAR Men Black Sneakers,3.9,Men,Amazon,499,599,16.69%,499.03,-0.03,0
14569,Women Pink Bellies Sandal,4.2,Women,Flipkart,233,799,70.84%,232.99,0.01,0
19987,Women Red Wedges Sandal,4.1,Women,Flipkart,682,799,14.64%,682.03,-0.03,1
13033,Bellies For Women  (Navy),4.2,Women,Flipkart,379,499,24.05%,378.99,0.01,1
4766,Women Pink Wedges Sandal,4,Women,Flipkart,499,1499,66.71%,499.02,-0.02,0
20029,Men Blue Sandal,4.1,Men,Flipkart,302,309,2.27%,301.99,0.01,1
17737,Jutis For Women  (Multicolor),3.7,Women,Flipkart,244,499,51.10%,244.01,-0.01,0
17245,Shoes For Girls Stylish Latest Fashion Sports Casual Canvas Sneakers Sneakers For Women  (Black),4,Women,Flipkart,399,749,46.73%,398.99,0.01,1
6807,Sneakers For Women  (White),4.2,Women,Flipkart,549,999,45.05%,548.95,0.05,1
13024,Trendy stylish flexible comfortable classy popular Mojaris For Men  (Black),4,Men,Flipkart,330,850,61.18%,329.97,0.03,0
11452,Slippers,4.1,Women,Flipkart,222,279,20.43%,222,0,1
10887,Women Black Heels Sandal,4.2,Women,Flipkart,475,999,52.45%,475.02,-0.02,1
12043,Outdoors For Men  (Black),4,Men,Flipkart,360,999,63.96%,360.04,-0.04,0
10156,Boots For Women  (Pink),3.8,Women,Flipkart,449,999,55.06%,448.95,0.05,1
10667,Frio Black Color Casual for Men's Flip Flops,3.5,Men,Flipkart,199,1299,84.68%,199.01,-0.01,1
8645,"Century-12 Running shoes for boys | sports shoes for men | Latest Stylish Casual sport shoes for men | Lace up Lightweight navy for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Navy, Blue)",4.1,Men,Flipkart,664,999,33.53%,664.04,-0.04,0
12002,Prowl Slip On Wns Walking Shoes For Women  (Black),4.5,Women,Flipkart,2387,3999,40.31%,2387,0,1
12044,Women Brown Flats Sandal,4.3,Women,Flipkart,589,699,15.74%,588.98,0.02,1
7046,Leather Semi-formals Lace Up For Men  (Black),4.2,Men,Flipkart,1768,5895,70.01%,1767.91,0.09,1
18365,Slides,4,Men,Flipkart,238,999,76.18%,237.96,0.04,0
701,"Captain-13 Running shoes for boys | sports shoes for men | Latest Stylish Casual sneakers for men | Lace up lightweight black shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Black, Maroon)",3.9,Men,Flipkart,543,802,43.04%,456.82,86.18,1
1737,Boots For Women  (Tan),4.4,Women,Flipkart,1049,3699,71.64%,1049.04,-0.04,1
7982,Combo New Combination Black and Black Loafers Casual Slip On Party Wear Shoes Pack of 2 Loafers For Men  (Black),4,Men,Flipkart,415,799,48.06%,415,0,0
9491,Men Beige Sandal,3.5,Men,Flipkart,399,999,60.06%,399,0,0
13561,Ketava III DP Slippers,4.1,Men,Flipkart,909,1299,30.02%,909.04,-0.04,1
4557,Heel Boots For Women  (Black),4.1,Women,Flipkart,1011,2290,55.85%,1011.04,-0.04,0
2927,Lace Up For Men  (Black),3.8,Men,Flipkart,949,2899,67.26%,949.13,-0.13,1
3060,Slippers,4.7,Women,Flipkart,599,1199,50.04%,599.02,-0.02,1
2932,Partywear Ethnic Womens Girls Ladies Shoe Jutis For Women Jutis For Women  (Multicolor),3.9,Women,Flipkart,299,499,40.08%,299,0,0
17357,Women Beige Bellies Sandal,4.4,Undefined,Flipkart,474,999,52.55%,474.03,-0.03,0
4126,Women Grey Heels Sandal,4.1,Women,Flipkart,599,999,40.04%,599,0,1
15843,"Best Quality Boots Latest Fashion ,Trending Boots And Very Comfortable Boots For Women  (White)",4,Undefined,Flipkart,349,999,65.07%,348.95,0.05,1
16207,TRAVELLAR LP Running Shoes For Men  (Grey),4.2,Men,Flipkart,1500,2999,49.98%,1500.1,-0.1,1
18304,Slippers,3.8,Undefined,Flipkart,141,499,71.74%,141.02,-0.02,0
18549,Women Brown Heels Sandal,4.4,Women,Flipkart,894,1490,40.00%,894,0,1
11570,"EDGEBOUNCE 1.5 W Running Shoes For Women  (Black, White)",4.5,Women,Flipkart,3883,8999,56.85%,3883.07,-0.07,1
9975,Walking Shoes For Women  (Blue),4.2,Women,Flipkart,664,799,16.90%,663.97,0.03,1
11047,GO RUN FAST Running Shoes For Women  (Black),4.6,Women,Flipkart,2650,5299,49.99%,2650.03,-0.03,1
19697,Slides,4,Women,Flipkart,299,999,70.07%,299,0,1
3669,Synthetic Leather Casual Partywear New Design Boots For Women  (White),4.2,Women,Flipkart,467,999,53.25%,467.03,-0.03,1
4935,Womens Comfort Stylish Trending Printed Slippers (Pack Of 4) Flip Flops,3.8,Women,Flipkart,245,499,50.90%,245.01,-0.01,0
15692,Men Brown Sandal,3.9,Men,Flipkart,314,999,68.57%,313.99,0.01,0
19348,Longwalk Women Casual Sneakers Shoes,4.5,Women,Amazon,429,454,5.51%,428.98,0.02,0
6910,Women Brown Wedges Sandal,3.7,Women,Flipkart,455,533,14.63%,455.02,-0.02,0
7139,Climber Boots For Men  (Bronze),4,Men,Flipkart,499,999,50.05%,499,0,1
16858,NUM0010 Derby For Men  (Brown),3.8,Men,Flipkart,396,799,50.44%,395.98,0.02,0
18419,Stylish Laser Punch Casual Belly Bellies For Women  (Tan),3.8,Women,Flipkart,399,499,20.04%,399,0,0
13646,Women Blue Heels Sandal,4.1,Women,Flipkart,449,999,55.06%,448.95,0.05,1
14152,Women 's Shoes For Girls Casuals For Women  Casuals For Women  (Multicolor),4.2,Women,Flipkart,459,999,54.05%,459.04,-0.04,0
2319,Running Shoes For Men  (Blue),3.8,Men,Flipkart,284,799,64.46%,283.96,0.04,0
10455,Bk Mojaris For Men  (Brown),3.3,Men,Flipkart,699,999,30.03%,699,0,0
8719,Ankle Length & High Ankle Length Boots For Women  (Beige),4.1,Women,Flipkart,458,999,54.15%,458.04,-0.04,0
19824,Concave 2 Wn s IDP Running Shoes For Women  (Purple),4.3,Women,Flipkart,2007,3999,49.81%,2007.1,-0.1,1
6487,Women Maroon Wedges Sandal,4.4,Women,Flipkart,282,799,64.71%,281.97,0.03,0
8770,Flip Flops,4.1,Men,Flipkart,349,375,6.93%,349.01,-0.01,1
9123,"New Trendy Fashionable And Comfortable 2 Combo Shoe Party Wear Sneakers Women and Girls Running Shoes,Gym Shoes,Canvas Shoes,Training Shoes,Sports Shoes For Girls Sneakers For Women  (Black, White)",4.1,Women,Flipkart,649,998,34.97%,649,0,1
